こんにちは, good day, OVERRIDE_AUTO_READING, konnichiwa
こんばんは, good evening, OVERRIDE_AUTO_READING, konbanwa
かさ, umbrella
せんせい, teacher
あれ, that
あか, red
あめ, rain
あげる, to raise
あし, foot
あさ, morning
あお, blue
あたま, head
あね, older sister
ある, to be
あたらしい, new
あした, tomorrow
あなた, you
あまり, remainder
あに, older brother
あたたかい, warm
あかい, red
あらう, to wash
あかるい, light
ご, five
いみ, meaning
いす, chair
いろ, colour
いけ, pond
いちばん, number one
いう, to say
よい, good
いま, now
いぬ, dog
いく, to go
いしゃ, doctor
いそがしい, busy
いもうと, younger sister
いっしょ,  together
ひま, spare time
いや, disliking
いたい, painful
いくつ, how many
いつつ, five
うた, song
うみ, sea
うしろ, back
うたう, to sing
さかな, fish
うる, to sell
おんな, woman
うわぎ, coat
うすい, thin
うえ, above
うまれる, to be born
うるさい, noisy
え, picture
えいご, English
えいが, movie
えんぴつ, pencil
しお, salt
えいがかん, movie theatre
えき, railway station
ええ, yes
おんがく, music
おとな, adult
きいろ, yellow
おかね, money
おとこ, man
おおきな, big
おわる, to end
およぐ, to swim
おもしろい, interesting
おんなのこ, girl
おおきい, big
おとうさん, father
おそい, slow
おとうと, younger brother
おかあさん, mother
おとこのこ, boy
おりる, to descend
おちゃ, tea
おす, to push
かわ, river
かいしゃ, company
かぞく, family
かいもの, shopping
かぜ,  cold
かみ, paper
かぎ, key
かてい, home
かようび, Tuesday
かんじ, kanji
かばん, bag
かびん,  vase
かう, to buy
かける, to hang up
からだ, body
かりる, to borrow
かえす, to return
き, tree
きっぷ, ticket
きょうしつ, classroom
きって, stamp
きた, north
きっさてん, coffee shop
きんようび, Friday
きょう, today
きのう, yesterday
きる, to wear
きらい, disliked
きょねん, last year
きょうだい, siblings
きく, to hear
きれい, pretty
きえる, to disappear
きたない, dirty
きいろい, yellow
くつ, shoe
くち, mouth
くろ, black
くつした, socks
くもり, cloudiness
ください, please
くるま, car
くに, country
くすり, medicine
くろい, black
くだもの, fruit
くらい, dark
くもる, to get cloudy
くる, to come
けっこん, marriage
ことば, language
けさ, this morning
けいかん, police officer
けっこう, splendid
けす, to erase
こども, child
こうえん,  park
こえ, voice
こうちゃ, black tea
こうさてん, crossing
こうばん, police box
この, this
ことし, this year
こんしゅう, this week
こんげつ, this month
ここのつ, nine
これ, this
こまる, to be troubled
こちら, this way
さんぽ, walk
さいふ, wallet
さとう, sugar
さくぶん, writing
ゆうべ, last night
さん, three
さき, point
さむい, cold
さく, to bloom
さす, to shine
さらいねん, year after next
ついたち, first day of the month
さあ, come
し, four
しごと, work
しゅくだい, homework
しんぶん, newspaper
しゃしん, photograph
にく, flesh
しろ, white
しょくどう, dining room
しる, to know
しつもん, question
しずか, quiet
しろい, white
しめる, to tie
しぬ, to die
しかし, however
しまる, to be shut
すいようび, Wednesday
すこし, a little
すくない, few
すき, liking
すむ, to live
すわる, to sit
すう, to smoke
すずしい, cool
する, to do
すぐに, immediately
せ, back
せんたく, washing
せっけん, soap
せいと, pupil
せんしゅう, last week
せんげつ, last month
せん, thousand
せまい, narrow
しょうゆ, soy sauce
むら, village
そうじ, cleaning
そと, outside
その, that
がいこく, foreign country
それ, that
そら, sky
そちら, that way
そこ, there
そば, near
そして, and
それから, and then
それでは, well, OVERRIDE_AUTO_READING, soredewa
そうして, and
だれ, who
たまご, eggs
たいしかん, embassy
たんじょうび, birthday
たいへん, very
たかい, high
たつ, to stand
たのしい, enjoyable
たのむ, to request
たべもの, food
たいせつ, important
たてもの, building
たぶん, probably
おおぜい, crowd of people
たて, the vertical
たくさん, a lot
たべる, to eat
ちず, map
ちかてつ, subway
ちゃいろ, brown
ちゃわん, rice bowl
まち, town
ちいさい, small
ちかい, near
ちょっと, a little
ちがう, to differ
ちかく, near
ちいさな, small
つくえ, desk
つかう, to use
つくる, to make
つよい, strong
つとめる, to work
つく, to arrive at
つかれる, to get tired
つける, to attach
つめたい, cold
つまらない, dull
つぎ, next
て, hand
てがみ, letter
てんき, weather
と, door
じゅう, ten
とし, year
としょかん, library
ぶたにく, pork
とる, to take
ともだち, friend
とり, bird
ときどき, sometimes
とぶ, to fly
とまる, to stop
となり, next
とても, very
ところ, place
とおい, far
とおか, 10th day of the month
しち, seven
なまえ, name
なつ, summer
なつやすみ, summer vacation
なる, to become
なに, what
ながい, long
ななつ, seven
なぜ, why
なくす, to lose
ならう, to take lessons in
ならぶ, to line up
ならべる, to line up
なく, to make sound
など, et cetera
なか, inside
どちら, which way
なのか, 7th day of the month
に, two
にし, west
にちようび, Sunday
にわ, garden
にもつ, luggage
にぎやか, bustling
はつか, 20th day of the month
ふたり, two persons
はたち, 20 years old
ぬぐ, to take off
ぬるい, lukewarm
