アパート, apartment building
アルコール, alcohol
アナウンサー, announcer
アクセサリー, accessory
アルバム, album
アイスクリーム, ice cream
アイロン, iron
インク, ink
インタビュー, interview
イカ, cuttlefish
イコール, equal
インテリ, intellectual
インフレ, inflation
ウイスキー, whisky
ウール, wool
ウイルス, virus
ウェイトレス, waitress
ウキウキ, cheerfully
エレベーター, elevator
エスカレーター, escalator
エンジン, engine
エネルギー, energy
エプロン, apron
エチケット, politeness
エンジニア, engineer
エクストラ, extra
エクスプレス, express
オートバイ, motorcycle
オーバー, overcoat
オフィス, office
オレンジ, orange
オーケストラ, orchestra
カメラ, camera
カップ, cup
カーテン, curtain
カー, car
カレンダー, calendar
カバー, cover
カロリー, calorie
キロ, kilo-
キャンプ, camp
キャプテン, captain
キャンパス, campus
キャッチ, catch
クラス, class
クリスマス, Christmas
クイズ, quiz
クレーン, crane
クリーム, cream
クラシック, classical music
ケーキ, cake
ケース, case
カオス, chaos
ケチャップ, ketchup
ケーブル, cable
ケア, care
ケルン, Koeln
ケージ, cage
コピー, copy
コンピュータ, computer
コーチ, coach
コンクール, competition
コレクション, collection
コーラス, chorus
コンサート, concert
コンテスト, contest
コミュニケーション, communication
コーナー, corner
サンドイッチ, sandwich
サラダ, salad
サンダル, sandal
サービス, service
サラリーマン, office worker
サイレン, siren
サンプル, sample
サイズ, size
サメ, shark
サンタクロース, Santa Claus
サイクル, cycle
サークル, group with a common interest
シャツ, shirt
シャワー, shower
シーツ, sheet
シリーズ, series
ショック, shock
システム, system
シーズン, season
シャッター,  shutter
ショー, show
ショップ, shop
シナリオ, script
スポーツ, sport
セーター, sweater
スカート, skirt
ストーブ,  heater
スプーン, spoon
スリッパ, slipper
ステレオ, stereo
スーツケース, suitcase
ステーキ, steak
スクリーン, screen
スキー, skiing
スープ,  soup
スケート, skating
スタイル,  figure
センチ, centimeter
セメント, cement
セール, sale
セット, set
センター, centre
センス, taste
セクション, section
セルフサービス, self-service
セミナー, seminar
セッション, session
チェロ, cello
ソフト, soft
ソファ, sofa
ソロ, solo
ソックス, socks
ソフトウェア, software
ソーセージ, sausage
ソナタ, sonata
ソフトドリンク, soft drink
ソプラノ, soprano
ソース, sauce
ソング, song
ナトリウム, sodium
ソフトボール, softball
ソユーズ, Soyuz
タクシー, taxi
タオル, towel
タイプライター, typewriter
タイマー, timer
タイプ, type
タイヤ, tire
タイミング, timing
タレント,  entertainer
タイ, sea bream
タイル, tile
タワー, tower
チェック, check
チーム, team
チャンス, chance
チーズ, cheese
チョーク, chalk
チャイム, chime
チベット, Tibet
チャネル, channel
チームワーク, teamwork
ツアー, tour
ツール, tool
ツイン, twin
テレビ, television
テーブル, table
テスト, test
テープ, tape
テニス, tennis
テキスト, text
テープレコーダー, tape recorder
テント, tent
テーマ, theme
テンポ, tempo
テレックス, telex
テラス, terrace
テクノロジー, technology
ティッシュ, tissue
トランプ,  playing cards
トンネル, tunnel
トイレ, toilet
トランジスタ, transistor
トップ, top
トレーニング, training
トラブル, trouble
トロント, Toronto
トマト, tomato
トースト, toast
ナイフ, knife
ナイロン, nylon
ナプキン,  napkin
ナイター, game under lights
ナンバー, number
ナンセンス, nonsense
ナイジェリア, Nigeria
ナイーブ, innocent
ナット, nut
ナポレオン, Napoleon
ニュース, news
ニコニコ, with a friendly grin
ニュアンス, nuance
ニュー, new
ニュートン, newton
ニーズ, needs
ニッケル, nickel
ニヤニヤ, grinning
ニックネーム, nickname
ニコラス, Nicolas
ヌルヌル, slimy
ヌーベル, mid-length novel
ヌーボー, modern
ネクタイ, tie
ネックレス, necklace
ネットワーク, network
ネット, network
ネーム, name
ネック, neck
ネルソン, nelson
ネガ, negative
ネオン, neon
ネイビー, navy
ネイル, nail
ネイチャー, nature
ネッカチーフ, neckerchief
ネガティブ, negative
ノック, knock
ノート, notebook
ノイローゼ, neurosis
ノー, no
ノンフィクション, nonfiction
ノンストップ, nonstop
ノルディック, Nordic
ノイズ, noise
ノルマ,  quota
ノウハウ, know-how
ハンカチ, handkerchief
ハイキング, hiking
ハンドル, handle
ハンサム, handsome
ユーモア, humor
ヒント, hint
ヒューズ, fuse
ヒーロー, hero
ヒステリー, hysteria
ヒマラヤ, Himalayas
ヒット, hit
ヒソヒソ, in a whisper
フィルム, film
フライパン, fry pan
ファスナー, zip fastener
ファン, fan
フロント, front
フェリー, ferry
ファイル, file
ファイト, fight
ヘリコプター, helicopter
ヘルメット, helmet
ヘクタール, hectare
ヘトヘト, completely exhausted
ヘアスタイル, hairstyle
ヘビー, heavy
ヘルシンキ, Helsinki
ヘドロ, sludge
ヘモグロビン, hemoglobin
ホテル, hotel
ホース, hose
ホノルル, Honolulu
ホワイトニング, whitening
ホームページ, home page
ホワイトカラー, white-collar
ホラー, horror
ホッケー,  hockey
ホームステイ, homestay
ホスト, host
マスター, to master
マンション, condominium
マスク,  mask
マーケット, market
マイク, mike
マイナス, minus
マフラー,  scarf
ミシン, sewing machine
ミリ, milli-
ミルク, milk
ミュージック, music
ミスプリント, misprint
ミサイル, missile
ミュージカル, musical
ミンク, mink
ミニディスク, minidisc
ミット, mitt
ミッション, mission
ミネラル, mineral
ミスター, mister
ミズーリ, Missouri
ムード, mood
メニュー, menu
ムスタング, mustang
ムカムカ, feeling sick
ムーラン, moulin
ミューズ, Muse
ムービー, movie
ムール, mussels
ムース, mousse
ムーディー, having a good atmosphere
メガネ, glasses
メンバー, member
メロディー, melody
メモ, note
メーター, meter
メッセージ, message
メーカー, manufacturer
メディア, media
メイド, maid
メールアドレス, email address
メダル, medal
メリット, advantage
メモリー, memory
メンフィス, Memphis
モデル, model
モニター, monitor
モーター, motor
